team,current_elo
Malawi,1428.4569689803307
Faroe Islands,1427.9192906390635
Saint Barthélemy,1424.9499962630462
Botswana,1423.3803610903801
Vietnam Republic,1420.0259317768641
Micronesia,1418.319445627739
Raetia,1415.325960246222
Western Australia,1414.2679557406543
Namibia,1410.1955345912093
Cyprus,1408.864108420286
French Guiana,1408.7830916199848
Darfur,1407.624923897854
Yemen DPR,1404.4837858498456
Malta,1402.5025780927301
Burundi,1401.1268786784362
Saint Pierre and Miquelon,1399.3369848371638
Cuba,1398.8823789740793
Saint Helena,1398.5420731107856
Tanzania,1398.3919526508269
Solomon Islands,1397.7450682303424
Ethiopia,1397.3867263293848
Turkmenistan,1396.8286199421607
Chagos Islands,1392.0644682868049
Liberia,1391.655502508701
Hitra,1389.5652208423132
Saint Vincent and the Grenadines,1385.574198511627
Latvia,1382.9267263609327
Lesotho,1382.4986856526568
Puerto Rico,1378.3367148418677
Lithuania,1377.5255174632202
Guinea-Bissau,1374.198379402237
Central African Republic,1373.4234060705103
Hong Kong,1370.1080318984984
Kiribati,1368.5937835805098
Saare County,1362.6049442433919
Philippines,1360.714403386708
Singapore,1360.1793316349083
Congo,1357.6396714787631
Moldova,1357.076046310596
Bermuda,1356.0212102279247
Wallis Islands and Futuna,1353.4645537566546
Sint Maarten,1342.0419193313132
Saint Kitts and Nevis,1337.8320799956837
Tibet,1334.3993617264687
India,1327.5128714370223
Eswatini,1327.489823139809
Belize,1326.6764607039277
Grenada,1325.2250370038141
Samoa,1323.8721615816835
Yemen,1317.190224737133
Tuvalu,1314.1395795803194
Saint Martin,1301.783415007608
Saint Lucia,1299.3103528312915
Falkland Islands,1299.2850523909121
South Sudan,1297.4117555436865
Montserrat,1295.7015208629198
Chad,1282.7705537055658
Frøya,1281.0421820699187
Cook Islands,1265.6946033919505
Bonaire,1264.557324463644
Mauritius,1254.4342906296645
Aruba,1253.4751745019557
Eritrea,1253.1479395293077
Afghanistan,1244.1042601180623
Antigua and Barbuda,1233.8580296736307
Dominica,1233.4536209635446
Myanmar,1228.866054355242
São Tomé and Príncipe,1222.0108703160508
Gibraltar,1217.7837199883966
Bangladesh,1214.8655714599327
Barbados,1207.592967552486
Turks and Caicos Islands,1203.8863537089617
Cayman Islands,1203.1749771366894
Tonga,1202.7217333068386
Andorra,1201.089105673811
Nepal,1198.865908145397
Taiwan,1193.597794447033
Northern Mariana Islands,1157.6988770431296
Alderney,1149.982943424973
Cambodia,1144.9874894652537
Maldives,1137.7828838278745
British Virgin Islands,1137.0724920577159
Djibouti,1134.98333509138
Somalia,1126.6392386766934
American Samoa,1124.8503749971367
United States Virgin Islands,1124.8199314918488
Liechtenstein,1123.8791221090676
Bahamas,1121.848446001513
Sri Lanka,1120.7273463855402
Guam,1117.9213238059865
Mongolia,1112.7842787520249
Seychelles,1091.3639186728658
Pakistan,1090.85065515817
Laos,1077.2387163318747
Anguilla,1060.6858100044792
Brunei,1047.1380065443516
San Marino,1029.5089246969217
Timor-Leste,1003.9010839409508
Macau,1001.2549126744543
Bhutan,987.0941892034713
